Rise										
Sayonara Hatsukoi	再见初恋									
OMAKENO Stroke	中风									
DX Choseinou Full Metal Shojo	纵连少女	dx								
Scarlet Lance	红枪									
Ouroboros -twin stroke of the end-	衔尾蛇									
Got hive of Ra										
Hall of Mirrors										
Hikari										
Linear Accelerator	线性加速器									
STAGER (ALL STAGE CLEAR)										
Tiferet	体罚									
Dream goes on										
Journey										
Specta										
Cyanine	花青	靛蓝								
Quon (Feryquitous)										
Moonlight of Sand Castle	月光沙雕									
REconstruction										
Evoltex (poppi'n mix)										
Oracle	神谕									
Αterlβus	aterlbus	ab								
DataErr0r	dataerror									
CROSS✝SOUL	穿魂									
Your voice so... feat. Such										
Impure Bird	不净白鸟									
Auxesia	夏									
Modelista	飙车									
Metallic Punisher	金属惩罚器	mp								
Carmine:scythe										
Γuarδina	gd									
Be There										
Call My Name feat. Yukacco										
Fallensquare	塌方									
Dropdead	摔死									
Alexandrite	变石									
Astral tale										
Phantasia										
Empire of Winter	冬国									
Libertas										
Dot to Dot feat. shully										
Dreadnought	手电筒									
Mirzam										
Surrender										
Yosakura Fubuki		夜樱吹雪								
Heavenly caress										
Filament	灯丝									
Avant Raze	罗志祥									
BATTLE NO.1	战地一	战第一	打架第一名							
Einherjar Joker	ej	击剑								
IZANA	功夫高	哪里								
La'qryma of the Wasteland										
SAIKYO STRONGER	最强	血魔王	爬							
Amygdata										
Altale										
Scarlet Cage	红笼									
Feels So Right feat. Renko										
Teriqma										
MAHOROBA	魔法老八									
BADTEK	坏锤子									
Malicious Mischance	mm									
BUCHiGiRE Berserker	狂战士									
Galaxy Friends	银河朋友									
Xeraphinite	绿龙晶									
Xanatos										
AttraqtiA										
GIMME DA BLOOD	给我血									
Can I Friend You on Bassbook? Lol	bass	bassline								
THE ULTIMACY										
REKKA RESONANCE	烈华									
Sheriruth (Laur Remix)	黑老二									
Evening in Scarlet	马冬梅									
Lastendconductor										
Goldenslaughterer										
Redolent Shape										
Summer Fireworks of Love										
Tutorial	教程									
Ignotus Afterburn										
Red and Blue and Green	红绿蓝									
Singularity VVVIP										
Overdead.	超死									
Haze of Autumn	阳炎									
First Snow	初雪									
Blue Rose	蓝玫瑰									
										
